name,url,query,tweet_volume,country
Ravens,http://twitter.com/search?q=Ravens,Ravens,27556.0,Worldwide
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,22520.0,Worldwide
Temer,http://twitter.com/search?q=Temer,Temer,27373.0,Worldwide
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,33254.0,Worldwide
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,35409.0,Worldwide
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,33617.0,Worldwide
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,Worldwide
Diniz,http://twitter.com/search?q=Diniz,Diniz,19632.0,Worldwide
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47144.0,Worldwide
Bucs,http://twitter.com/search?q=Bucs,Bucs,27023.0,Worldwide
Normani,http://twitter.com/search?q=Normani,Normani,31364.0,Worldwide
Cristina,http://twitter.com/search?q=Cristina,Cristina,57178.0,Worldwide
Zé Trovão,http://twitter.com/search?q=%22Z%C3%A9+Trov%C3%A3o%22,%22Z%C3%A9+Trov%C3%A3o%22,114164.0,Worldwide
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,Worldwide
Packers,http://twitter.com/search?q=Packers,Packers,18263.0,Worldwide
LISA SOLO DEBUT,http://twitter.com/search?q=%22LISA+SOLO+DEBUT%22,%22LISA+SOLO+DEBUT%22,520589.0,Worldwide
Papo,http://twitter.com/search?q=Papo,Papo,52656.0,Worldwide
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15137.0,Worldwide
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,Worldwide
Lamar,http://twitter.com/search?q=Lamar,Lamar,25760.0,Worldwide
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11884.0,Worldwide
Buccaneers,http://twitter.com/search?q=Buccaneers,Buccaneers,37292.0,Worldwide
Barroso,http://twitter.com/search?q=Barroso,Barroso,56019.0,Worldwide
Bills,http://twitter.com/search?q=Bills,Bills,70994.0,Worldwide
Ganesh Chaturthi,http://twitter.com/search?q=%22Ganesh+Chaturthi%22,%22Ganesh+Chaturthi%22,20877.0,Worldwide
Chiefs,http://twitter.com/search?q=Chiefs,Chiefs,20991.0,Worldwide
#klartext,http://twitter.com/search?q=%23klartext,%23klartext,10746.0,Worldwide
#FMSInternacional,http://twitter.com/search?q=%23FMSInternacional,%23FMSInternacional,18562.0,Worldwide
#klartext,http://twitter.com/search?q=%23klartext,%23klartext,10659.0,Germany
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,20502.0,Germany
Matrix,http://twitter.com/search?q=Matrix,Matrix,272744.0,Germany
Luca,http://twitter.com/search?q=Luca,Luca,27377.0,Germany
Misha,http://twitter.com/search?q=Misha,Misha,11162.0,Germany
Trailer,http://twitter.com/search?q=Trailer,Trailer,209929.0,Germany
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33821.0,Germany
#Amazon,http://twitter.com/search?q=%23Amazon,%23Amazon,27813.0,Germany
Iván,http://twitter.com/search?q=Iv%C3%A1n,Iv%C3%A1n,43377.0,Spain
#MarlaskaDimision,http://twitter.com/search?q=%23MarlaskaDimision,%23MarlaskaDimision,32503.0,Spain
#FMSInternacional,http://twitter.com/search?q=%23FMSInternacional,%23FMSInternacional,18174.0,Spain
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Spain
Papo,http://twitter.com/search?q=Papo,Papo,52110.0,Spain
Skill,http://twitter.com/search?q=Skill,Skill,46697.0,Spain
Wolf,http://twitter.com/search?q=Wolf,Wolf,81098.0,Spain
MODE,http://twitter.com/search?q=MODE,MODE,136684.0,Spain
Sony,http://twitter.com/search?q=Sony,Sony,51169.0,Spain
Mínima,http://twitter.com/search?q=M%C3%ADnima,M%C3%ADnima,32399.0,Spain
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11838.0,Spain
ayato,http://twitter.com/search?q=ayato,ayato,14354.0,Spain
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Spain
Canadá,http://twitter.com/search?q=Canad%C3%A1,Canad%C3%A1,234502.0,Spain
Pereira,http://twitter.com/search?q=Pereira,Pereira,12757.0,Spain
Merkel,http://twitter.com/search?q=Merkel,Merkel,22123.0,Spain
Astérix,http://twitter.com/search?q=Ast%C3%A9rix,Ast%C3%A9rix,14140.0,Spain
Keanu,http://twitter.com/search?q=Keanu,Keanu,41930.0,Spain
New World,http://twitter.com/search?q=%22New+World%22,%22New+World%22,162009.0,Spain
Berserk,http://twitter.com/search?q=Berserk,Berserk,28636.0,Spain
Epic,http://twitter.com/search?q=Epic,Epic,83206.0,Spain
Trinity,http://twitter.com/search?q=Trinity,Trinity,30735.0,Spain
Ravens,http://twitter.com/search?q=Ravens,Ravens,27556.0,Puerto Rico
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,22520.0,Puerto Rico
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47144.0,Puerto Rico
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,Puerto Rico
Bucs,http://twitter.com/search?q=Bucs,Bucs,27023.0,Puerto Rico
Normani,http://twitter.com/search?q=Normani,Normani,31364.0,Puerto Rico
Packers,http://twitter.com/search?q=Packers,Packers,18263.0,Puerto Rico
Lamar,http://twitter.com/search?q=Lamar,Lamar,25760.0,Puerto Rico
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15137.0,Puerto Rico
#NFLKickoff,http://twitter.com/search?q=%23NFLKickoff,%23NFLKickoff,10116.0,Puerto Rico
Justice Department,http://twitter.com/search?q=%22Justice+Department%22,%22Justice+Department%22,33081.0,Puerto Rico
Bills,http://twitter.com/search?q=Bills,Bills,70994.0,Puerto Rico
Chiefs,http://twitter.com/search?q=Chiefs,Chiefs,21013.0,Puerto Rico
Liz Cheney,http://twitter.com/search?q=%22Liz+Cheney%22,%22Liz+Cheney%22,17675.0,Puerto Rico
Katie Porter,http://twitter.com/search?q=%22Katie+Porter%22,%22Katie+Porter%22,24456.0,Puerto Rico
Buccaneers,http://twitter.com/search?q=Buccaneers,Buccaneers,37292.0,Puerto Rico
Rand Paul,http://twitter.com/search?q=%22Rand+Paul%22,%22Rand+Paul%22,23895.0,Puerto Rico
Browns,http://twitter.com/search?q=Browns,Browns,26323.0,Puerto Rico
Howard Stern,http://twitter.com/search?q=%22Howard+Stern%22,%22Howard+Stern%22,29817.0,Puerto Rico
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77208.0,Puerto Rico
VMAs,http://twitter.com/search?q=VMAs,VMAs,149872.0,Puerto Rico
Hunter Biden,http://twitter.com/search?q=%22Hunter+Biden%22,%22Hunter+Biden%22,34002.0,Puerto Rico
Brady,http://twitter.com/search?q=Brady,Brady,37144.0,Puerto Rico
Dreamcast,http://twitter.com/search?q=Dreamcast,Dreamcast,10545.0,Puerto Rico
Rampart,http://twitter.com/search?q=Rampart,Rampart,13953.0,Puerto Rico
#الخميس_الونيس,http://twitter.com/search?q=%23%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3_%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3,%23%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3_%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3,84336.0,Kuwait
#انقذوا_دانه_المساعيد,http://twitter.com/search?q=%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,36090.0,Kuwait
