name,url,query,tweet_volume,country
Noel,http://twitter.com/search?q=Noel,Noel,26988.0,United Kingdom
Matrix,http://twitter.com/search?q=Matrix,Matrix,272744.0,United Kingdom
Normani,http://twitter.com/search?q=Normani,Normani,31219.0,United Kingdom
Upside,http://twitter.com/search?q=Upside,Upside,19591.0,United Kingdom
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11838.0,United Kingdom
Ravens,http://twitter.com/search?q=Ravens,Ravens,26865.0,United Kingdom
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15109.0,United Kingdom
Churchill,http://twitter.com/search?q=Churchill,Churchill,14330.0,United Kingdom
Hanging,http://twitter.com/search?q=Hanging,Hanging,48188.0,United Kingdom
Sapnap,http://twitter.com/search?q=Sapnap,Sapnap,23551.0,United Kingdom
Carrie,http://twitter.com/search?q=Carrie,Carrie,16142.0,United Kingdom
Bucs,http://twitter.com/search?q=Bucs,Bucs,26978.0,United Kingdom
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33821.0,United Kingdom
Keanu Reeves,http://twitter.com/search?q=%22Keanu+Reeves%22,%22Keanu+Reeves%22,32102.0,United Kingdom
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47048.0,United Kingdom
